Coluna;Município-Piauí
CNAE 2.0 Subclasse;PI-ACAUA;PI-AGRICOLANDIA;PI-AGUA BRANCA;PI-ALAGOINHA DO PIAUI;PI-ALEGRETE DO PIAUI;PI-ALTO LONGA;PI-ALTOS;PI-ALVORADA DO GURGUEIA;PI-AMARANTE;PI-ANGICAL DO PIAUI;PI-ANISIO DE ABREU;PI-ANTONIO ALMEIDA;PI-AROAZES;PI-AROEIRAS DO ITAIM;PI-ARRAIAL;PI-ASSUNCAO DO PIAUI;PI-AVELINO LOPES;PI-BAIXA GRANDE DO RIBEIRO;PI-BARRA D ALCANTARA;PI-BARRAS;PI-BARREIRAS DO PIAUI;PI-BARRO DURO;PI-BATALHA;PI-BELA VISTA DO PIAUI;PI-BELEM DO PIAUI;PI-BENEDITINOS;PI-BERTOLINIA;PI-BETANIA DO PIAUI;PI-BOA HORA;PI-BOCAINA;PI-BOM JESUS;PI-BOM PRINCIPIO DO PIAUI;PI-BONFIM DO PIAUI;PI-BOQUEIRAO DO PIAUI;PI-BRASILEIRA;PI-BREJO DO PIAUI;PI-BURITI DOS LOPES;PI-BURITI DOS MONTES;PI-CABECEIRAS DO PIAUI;PI-CAJAZEIRAS DO PIAUI;PI-CAJUEIRO DA PRAIA;PI-CALDEIRAO GRANDE DO PIAUI;PI-CAMPINAS DO PIAUI;PI-CAMPO ALEGRE DO FIDALGO;PI-CAMPO GRANDE DO PIAUI;PI-CAMPO LARGO DO PIAUI;PI-CAMPO MAIOR;PI-CANAVIEIRA;PI-CANTO DO BURITI;PI-CAPITAO DE CAMPOS;PI-CAPITAO GERVASIO OLIVEIRA;PI-CARACOL;PI-CARAUBAS DO PIAUI;PI-CARIDADE DO PIAUI;PI-CASTELO DO PIAUI;PI-CAXINGO;PI-COCAL;PI-COCAL DE TELHA;PI-COCAL DOS ALVES;PI-COIVARAS;PI-COLONIA DO GURGUEIA;PI-COLONIA DO PIAUI;PI-CONCEICAO DO CANINDE;PI-CORONEL JOSE DIAS;PI-CORRENTE;PI-CRISTALANDIA DO PIAUI;PI-CRISTINO CASTRO;PI-CURIMATA;PI-CURRAIS;PI-CURRALINHOS;PI-CURRAL NOVO DO PIAUI;PI-DEMERVAL LOBAO;PI-DIRCEU ARCOVERDE;PI-DOM EXPEDITO LOPES;PI-DOMINGOS MOURAO;PI-DOM INOCENCIO;PI-ELESBAO VELOSO;PI-ELISEU MARTINS;PI-ESPERANTINA;PI-FARTURA DO PIAUI;PI-FLORES DO PIAUI;PI-FLORESTA DO PIAUI;PI-FLORIANO;PI-FRANCINOPOLIS;PI-FRANCISCO AYRES;PI-FRANCISCO MACEDO;PI-FRANCISCO SANTOS;PI-FRONTEIRAS;PI-GEMINIANO;PI-GILBUES;PI-GUADALUPE;PI-GUARIBAS;PI-HUGO NAPOLEAO;PI-ILHA GRANDE;PI-INHUMA;PI-IPIRANGA DO PIAUI;PI-ISAIAS COELHO;PI-ITAINOPOLIS;PI-ITAUEIRA;PI-JACOBINA DO PIAUI;PI-JAICOS;PI-JARDIM DO MULATO;PI-JATOBA DO PIAUI;PI-JERUMENHA;PI-JOAO COSTA;PI-JOAQUIM PIRES;PI-JOCA MARQUES;PI-JOSE DE FREITAS;PI-JUAZEIRO DO PIAUI;PI-JULIO BORGES;PI-JUREMA;PI-LAGOINHA DO PIAUI;PI-LAGOA ALEGRE;PI-LAGOA DO BARRO DO PIAUI;PI-LAGOA DE SAO FRANCISCO;PI-LAGOA DO PIAUI;PI-LAGOA DO SITIO;PI-LANDRI SALES;PI-LUIS CORREIA;PI-LUZILANDIA;PI-MADEIRO;PI-MANOEL EMIDIO;PI-MARCOLANDIA;PI-MARCOS PARENTE;PI-MASSAPE DO PIAUI;PI-MATIAS OLIMPIO;PI-MIGUEL ALVES;PI-MIGUEL LEAO;PI-MILTON BRANDAO;PI-MONSENHOR GIL;PI-MONSENHOR HIPOLITO;PI-MONTE ALEGRE DO PIAUI;PI-MORRO CABECA NO TEMPO;PI-MORRO DO CHAPEU DO PIAUI;PI-MURICI DOS PORTELAS;PI-NAZARE DO PIAUI;PI-NAZARIA;PI-NOSSA SENHORA DE NAZARE;PI-NOSSA SENHORA DOS REMEDIOS;PI-NOVO ORIENTE DO PIAUI;PI-NOVO SANTO ANTONIO;PI-OEIRAS;PI-OLHO D AGUA DO PIAUI;PI-PADRE MARCOS;PI-PAES LANDIM;PI-PAJEU DO PIAUI;PI-PALMEIRA DO PIAUI;PI-PALMEIRAIS;PI-PAQUETA;PI-PARNAGUA;PI-PARNAIBA;PI-PASSAGEM FRANCA DO PIAUI;PI-PATOS DO PIAUI;PI-PAU D ARCO DO PIAUI;PI-PAULISTANA;PI-PAVUSSU;PI-PEDRO II;PI-PEDRO LAURENTINO;PI-NOVA SANTA RITA;PI-PICOS;PI-PIMENTEIRAS;PI-PIO IX;PI-PIRACURUCA;PI-PIRIPIRI;PI-PORTO;PI-PORTO ALEGRE DO PIAUI;PI-PRATA DO PIAUI;PI-QUEIMADA NOVA;PI-REDENCAO DO GURGUEIA;PI-REGENERACAO;PI-RIACHO FRIO;PI-RIBEIRA DO PIAUI;PI-RIBEIRO GONCALVES;PI-RIO GRANDE DO PIAUI;PI-SANTA CRUZ DO PIAUI;PI-SANTA CRUZ DOS MILAGRES;PI-SANTA FILOMENA;PI-SANTA LUZ;PI-SANTANA DO PIAUI;PI-SANTA ROSA DO PIAUI;PI-SANTO ANTONIO DE LISBOA;PI-SANTO ANTONIO DOS MILAGRES;PI-SANTO INACIO DO PIAUI;PI-SAO BRAZ DO PIAUI;PI-SAO FELIX DO PIAUI;PI-SAO FRANCISCO DE ASSIS DO PIAUI;PI-SAO FRANCISCO DO PIAUI;PI-SAO GONCALO DO GURGUEIA;PI-SAO GONCALO DO PIAUI;PI-SAO JOAO DA CANABRAVA;PI-SAO JOAO DA FRONTEIRA;PI-SAO JOAO DA SERRA;PI-SAO JOAO DA VARJOTA;PI-SAO JOAO DO ARRAIAL;PI-SAO JOAO DO PIAUI;PI-SAO JOSE DO DIVINO;PI-SAO JOSE DO PEIXE;PI-SAO JOSE DO PIAUI;PI-SAO JULIAO;PI-SAO LOURENCO DO PIAUI;PI-SAO LUIS DO PIAUI;PI-SAO MIGUEL DA BAIXA GRANDE;PI-SAO MIGUEL DO FIDALGO;PI-SAO MIGUEL DO TAPUIO;PI-SAO PEDRO DO PIAUI;PI-SAO RAIMUNDO NONATO;PI-SEBASTIAO BARROS;PI-SEBASTIAO LEAL;PI-SIGEFREDO PACHECO;PI-SIMOES;PI-SIMPLICIO MENDES;PI-SOCORRO DO PIAUI;PI-SUSSUAPARA;PI-TAMBORIL DO PIAUI;PI-TANQUE DO PIAUI;PI-TERESINA;PI-UNIAO;PI-URUCUI;PI-VALENCA DO PIAUI;PI-VARZEA BRANCA;PI-VARZEA GRANDE;PI-VERA MENDES;PI-VILA NOVA DO PIAUI;PI-WALL FERRAZ
Cultivo de arroz;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;27;0;2;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;35;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;32;0;78;19;0;0;0;0;0
Cultivo de milho;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;139;0;0;0;0;0;0
Cultivo de trigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cultivo de outros cereais não especificados anteriormente;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;74;0;0;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;34;1;207;0;0;0;0;0;0
Cultivo de algodão herbáceo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cultivo de juta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
Cultivo de cana-de-açúcar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;58;0;0;0;0;0;0;0
Cultivo de fumo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cultivo de soja;0;0;0;0;0;0;0;2;0;0;0;13;0;0;0;0;0;1373;0;0;68;0;0;0;0;0;0;0;24;0;294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;6;0;9;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;19;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;3;0;0;3;111;0;0;194;0;0;0;282;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;411;0;0;0;0;0;0;0;5;0;558;0;0;0;0;0;0
